车型,风扇型号,转速(RPM),风量(CFM),噪音(dB),市占率,达标率,测试时间
VAN-长轴距版,Blade-A1.5,2852,640,127.1,15%,59.35,2026-06
VAN-长轴距版,Blade-A1.5,2852,800,126.0,8%,61.0,2026-06
VAN-长轴距版,Blade-A1.5,2852,1000,125.9,22%,61.15,2026-06
VAN-长轴距版,Blade-A1.5,2852,1280,126.6,15%,60.1,2026-06
VAN-长轴距版,Blade-A1.5,2852,1600,126.6,22%,60.1,2026-06
VAN-长轴距版,Blade-A1.5,2852,2000,124.5,35%,63.25,2026-06
VAN-长轴距版,Blade-A1.5,2852,2520,123.4,22%,64.9,2026-06
VAN-长轴距版,Blade-A1.5,2852,3200,121.8,35%,67.3,2026-06
VAN-长轴距版,Blade-A1.5,2852,4000,119.6,22%,70.6,2026-06
VAN-长轴距版,Blade-A1.5,2852,5040,118.1,35%,72.85,2026-06
VAN-长轴距版,Blade-A1.5,2852,6400,115.4,8%,76.9,2026-06
VAN-长轴距版,Blade-A1.5,2852,8000,113.5,8%,79.75,2026-06
VAN-长轴距版,Blade-A1.5,2852,10000,109.2,35%,86.2,2026-06
VAN-长轴距版,Blade-A1.5,2852,12800,106.6,35%,90.1,2026-06
VAN-长轴距版,Blade-A1.5,1584,252,121.9,15%,67.15,2026-06
VAN-长轴距版,Blade-A1.5,1584,320,124.0,35%,64.0,2026-06
VAN-长轴距版,Blade-A1.5,1584,400,126.7,22%,59.95,2026-06
VAN-长轴距版,Blade-A1.5,1584,504,128.3,8%,57.55,2026-06
VAN-长轴距版,Blade-A1.5,1584,640,128.8,22%,56.8,2026-06
VAN-长轴距版,Blade-A1.5,1584,800,127.6,35%,58.6,2026-06
VAN-长轴距版,Blade-A1.5,1584,1000,125.2,15%,62.2,2026-06
VAN-长轴距版,Blade-A1.5,1584,1280,122.2,35%,66.7,2026-06
VAN-长轴距版,Blade-A1.5,1584,1600,122.1,35%,66.85,2026-06
VAN-长轴距版,Blade-A1.5,1584,2000,121.0,22%,68.5,2026-06
VAN-长轴距版,Blade-A1.5,1584,2520,119.1,22%,71.35,2026-06
VAN-长轴距版,Blade-A1.5,1584,3200,117.7,35%,73.45,2026-06
VAN-长轴距版,Blade-A1.5,1584,4000,116.2,35%,75.7,2026-06
VAN-长轴距版,Blade-A1.5,1584,5040,114.8,15%,77.8,2026-06
VAN-长轴距版,Blade-A1.5,1584,6400,112.3,35%,81.55,2026-06
VAN-长轴距版,Blade-A1.5,1584,8000,109.0,35%,86.5,2026-06
VAN-长轴距版,Blade-A1.5,1584,10000,106.1,22%,90.85,2026-06
VAN-长轴距版,Blade-A3.0,2852,320,127.6,35%,58.6,2026-06
VAN-长轴距版,Blade-A3.0,2852,400,128.5,8%,57.25,2026-06
VAN-长轴距版,Blade-A3.0,2852,504,129.4,35%,55.9,2026-06
VAN-长轴距版,Blade-A3.0,2852,640,129.5,22%,55.75,2026-06
VAN-长轴距版,Blade-A3.0,2852,800,129.0,15%,56.5,2026-06
VAN-长轴距版,Blade-A3.0,2852,1000,127.6,22%,58.6,2026-06
VAN-长轴距版,Blade-A3.0,2852,1280,126.5,22%,60.25,2026-06
VAN-长轴距版,Blade-A3.0,2852,1600,125.5,22%,61.75,2026-06
VAN-长轴距版,Blade-A3.0,2852,2000,124.0,22%,64.0,2026-06
VAN-长轴距版,Blade-A3.0,2852,2520,121.5,35%,67.75,2026-06
VAN-长轴距版,Blade-A3.0,2852,3200,120.3,8%,69.55,2026-06
VAN-长轴距版,Blade-A3.0,2852,4000,118.1,22%,72.85,2026-06
VAN-长轴距版,Blade-A3.0,2852,5040,116.1,35%,75.85,2026-06
VAN-长轴距版,Blade-A3.0,2852,6400,114.6,15%,78.1,2026-06
VAN-长轴距版,Blade-A3.0,2852,8000,110.2,15%,84.7,2026-06
VAN-长轴距版,Blade-A3.0,2220,320,126.2,15%,60.7,2026-06
VAN-长轴距版,Blade-A3.0,2220,400,128.2,35%,57.7,2026-06
VAN-长轴距版,Blade-A3.0,2220,504,129.6,8%,55.6,2026-06
VAN-长轴距版,Blade-A3.0,2220,640,129.9,15%,55.15,2026-06
VAN-长轴距版,Blade-A3.0,2220,800,129.3,8%,56.05,2026-06
VAN-长轴距版,Blade-A3.0,2220,1000,127.3,15%,59.05,2026-06
VAN-长轴距版,Blade-A3.0,2220,1280,124.4,15%,63.4,2026-06
VAN-长轴距版,Blade-A3.0,2220,1600,123.1,35%,65.35,2026-06
VAN-长轴距版,Blade-A3.0,2220,2000,122.4,22%,66.4,2026-06
VAN-长轴距版,Blade-A3.0,2220,2520,120.2,35%,69.7,2026-06
VAN-长轴距版,Blade-A3.0,2220,3200,118.7,15%,71.95,2026-06
VAN-长轴距版,Blade-A3.0,2220,4000,117.3,8%,74.05,2026-06
VAN-长轴距版,Blade-A3.0,2220,5040,115.7,35%,76.45,2026-06
VAN-长轴距版,Blade-A3.0,2220,6400,113.8,8%,79.3,2026-06
VAN-长轴距版,Blade-A3.0,2220,8000,112.2,8%,81.7,2026-06
VAN-长轴距版,Blade-A3.0,1584,252,123.3,8%,65.05,2026-06
VAN-长轴距版,Blade-A3.0,1584,320,125.5,15%,61.75,2026-06
VAN-长轴距版,Blade-A3.0,1584,400,127.6,22%,58.6,2026-06
VAN-长轴距版,Blade-A3.0,1584,504,129.3,15%,56.05,2026-06
VAN-长轴距版,Blade-A3.0,1584,640,129.6,8%,55.6,2026-06
VAN-长轴距版,Blade-A3.0,1584,800,128.3,35%,57.55,2026-06
VAN-长轴距版,Blade-A3.0,1584,1000,125.8,22%,61.3,2026-06
VAN-长轴距版,Blade-A3.0,1584,1280,122.8,35%,65.8,2026-06
VAN-长轴距版,Blade-A3.0,1584,1600,120.5,8%,69.25,2026-06
VAN-长轴距版,Blade-A3.0,1584,2000,120.2,35%,69.7,2026-06
VAN-长轴距版,Blade-A3.0,1584,2520,118.9,15%,71.65,2026-06
VAN-长轴距版,Blade-A3.0,1584,3200,116.8,8%,74.8,2026-06
VAN-长轴距版,Blade-A3.0,1584,4000,115.8,15%,76.3,2026-06
VAN-长轴距版,Blade-A3.0,1584,5040,114.0,15%,79.0,2026-06
VAN-长轴距版,Blade-A3.0,1584,6400,110.7,8%,83.95,2026-06
VAN-长轴距版,Blade-A3.0,1268,252,123.1,22%,65.35,2026-06
VAN-长轴距版,Blade-A3.0,1268,320,125.4,8%,61.9,2026-06
VAN-长轴距版,Blade-A3.0,1268,400,127.5,35%,58.75,2026-06
VAN-长轴距版,Blade-A3.0,1268,504,128.7,35%,56.95,2026-06
VAN-长轴距版,Blade-A3.0,1268,640,128.7,35%,56.95,2026-06
VAN-长轴距版,Blade-A3.0,1268,800,126.8,15%,59.8,2026-06
VAN-长轴距版,Blade-A3.0,1268,1000,124.8,22%,62.8,2026-06
VAN-长轴距版,Blade-A3.0,1268,1280,122.1,8%,66.85,2026-06
VAN-长轴距版,Blade-A3.0,1268,1600,120.1,35%,69.85,2026-06
VAN-长轴距版,Blade-A3.0,1268,2000,119.6,35%,70.6,2026-06
VAN-长轴距版,Blade-A3.0,1268,2520,118.1,8%,72.85,2026-06
VAN-长轴距版,Blade-A3.0,1268,3200,115.6,8%,76.6,2026-06
VAN-长轴距版,Blade-A3.0,1268,4000,113.9,8%,79.15,2026-06
VAN-长轴距版,Blade-A3.0,1268,5040,109.7,35%,85.45,2026-06
VAN-长轴距版,Blade-A4.0,2852,200,126.4,8%,60.4,2026-06
VAN-长轴距版,Blade-A4.0,2852,252,128.2,35%,57.7,2026-06
VAN-长轴距版,Blade-A4.0,2852,320,129.6,15%,55.6,2026-06
VAN-长轴距版,Blade-A4.0,2852,400,130.7,35%,53.95,2026-06
VAN-长轴距版,Blade-A4.0,2852,504,131.6,8%,52.6,2026-06
VAN-长轴距版,Blade-A4.0,2852,640,131.8,35%,52.3,2026-06
VAN-长轴距版,Blade-A4.0,2852,800,131.0,8%,53.5,2026-06
VAN-长轴距版,Blade-A4.0,2852,1000,129.4,8%,55.9,2026-06
VAN-长轴距版,Blade-A4.0,2852,1280,126.6,8%,60.1,2026-06
VAN-长轴距版,Blade-A4.0,2852,1600,124.4,8%,63.4,2026-06
VAN-长轴距版,Blade-A4.0,2852,2000,123.8,22%,64.3,2026-06
VAN-长轴距版,Blade-A4.0,2852,2520,121.8,22%,67.3,2026-06
VAN-长轴距版,Blade-A4.0,2852,3200,119.5,35%,70.75,2026-06
VAN-长轴距版,Blade-A4.0,2852,4000,117.8,22%,73.3,2026-06
VAN-长轴距版,Blade-A4.0,2852,5040,116.2,15%,75.7,2026-06
VAN-长轴距版,Blade-A4.0,2852,6400,113.7,22%,79.45,2026-06
VAN-长轴距版,Blade-A4.0,2852,8000,110.9,35%,83.65,2026-06
VAN-长轴距版,Blade-A4.0,2852,10000,107.4,15%,88.9,2026-06
VAN-长轴距版,Blade-A4.0,1584,200,123.5,15%,64.75,2026-06
VAN-长轴距版,Blade-A4.0,1584,252,126.8,22%,59.8,2026-06
VAN-长轴距版,Blade-A4.0,1584,320,128.6,15%,57.1,2026-06
VAN-长轴距版,Blade-A4.0,1584,400,130.2,35%,54.7,2026-06
VAN-长轴距版,Blade-A4.0,1584,504,131.1,8%,53.35,2026-06
VAN-长轴距版,Blade-A4.0,1584,640,130.7,8%,53.95,2026-06
VAN-长轴距版,Blade-A4.0,1584,800,128.7,8%,56.95,2026-06
VAN-长轴距版,Blade-A4.0,1584,1000,126.3,15%,60.55,2026-06
VAN-长轴距版,Blade-A4.0,1584,1280,123.2,35%,65.2,2026-06
VAN-长轴距版,Blade-A4.0,1584,1600,121.0,15%,68.5,2026-06
VAN-长轴距版,Blade-A4.0,1584,2000,120.2,22%,69.7,2026-06
VAN-长轴距版,Blade-A4.0,1584,2520,118.7,15%,71.95,2026-06
VAN-长轴距版,Blade-A4.0,1584,3200,115.9,15%,76.15,2026-06
VAN-长轴距版,Blade-A4.0,1584,4000,113.7,35%,79.45,2026-06
VAN-标准版,Blade-A0.0,2852,1000,128.1,35%,57.85,2026-06
VAN-标准版,Blade-A0.0,2852,1280,129.1,22%,56.35,2026-06
VAN-标准版,Blade-A0.0,2852,1600,128.2,35%,57.7,2026-06
VAN-标准版,Blade-A0.0,2852,2000,128.4,35%,57.4,2026-06
VAN-标准版,Blade-A0.0,2852,2520,127.8,22%,58.3,2026-06
VAN-标准版,Blade-A0.0,2852,3200,125.8,22%,61.3,2026-06
VAN-标准版,Blade-A0.0,2852,4000,124.3,35%,63.55,2026-06
VAN-标准版,Blade-A0.0,2852,5040,122.0,22%,67.0,2026-06
VAN-标准版,Blade-A0.0,2852,6400,118.0,15%,73.0,2026-06
VAN-标准版,Blade-A0.0,2852,8000,118.1,22%,72.85,2026-06
VAN-标准版,Blade-A0.0,2852,10000,117.6,35%,73.6,2026-06
VAN-标准版,Blade-A0.0,2852,12800,115.0,15%,77.5,2026-06
VAN-标准版,Blade-A0.0,2852,16000,114.5,22%,78.25,2026-06
VAN-标准版,Blade-A0.0,2220,252,119.5,15%,70.75,2026-06
VAN-标准版,Blade-A0.0,2220,320,121.7,35%,67.45,2026-06
VAN-标准版,Blade-A0.0,2220,400,123.8,35%,64.3,2026-06
VAN-标准版,Blade-A0.0,2220,504,126.2,35%,60.7,2026-06
VAN-标准版,Blade-A0.0,2220,640,127.5,8%,58.75,2026-06
VAN-标准版,Blade-A0.0,2220,800,128.3,35%,57.55,2026-06
VAN-标准版,Blade-A0.0,2220,1000,127.9,8%,58.15,2026-06
VAN-标准版,Blade-A0.0,2220,1280,126.8,15%,59.8,2026-06
VAN-标准版,Blade-A0.0,2220,1600,126.5,15%,60.25,2026-06
VAN-标准版,Blade-A0.0,2220,2000,126.5,35%,60.25,2026-06
VAN-标准版,Blade-A0.0,2220,2520,125.2,35%,62.2,2026-06
VAN-标准版,Blade-A0.0,2220,3200,123.4,22%,64.9,2026-06
VAN-标准版,Blade-A0.0,2220,4000,122.4,8%,66.4,2026-06
VAN-标准版,Blade-A0.0,2220,5040,118.4,15%,72.4,2026-06
VAN-标准版,Blade-A0.0,1584,252,121.1,35%,68.35,2026-06
VAN-标准版,Blade-A0.0,1584,320,123.6,35%,64.6,2026-06
VAN-标准版,Blade-A0.0,1584,400,126.2,22%,60.7,2026-06
VAN-标准版,Blade-A0.0,1584,504,128.7,22%,56.95,2026-06
VAN-标准版,Blade-A0.0,1584,640,130.2,15%,54.7,2026-06
VAN-标准版,Blade-A0.0,1584,800,130.4,22%,54.4,2026-06
VAN-标准版,Blade-A0.0,1584,1000,129.4,8%,55.9,2026-06
VAN-标准版,Blade-A0.0,1584,1280,127.1,15%,59.35,2026-06
VAN-标准版,Blade-A0.0,1584,1600,125.3,15%,62.05,2026-06
VAN-标准版,Blade-A0.0,1584,2000,125.0,8%,62.5,2026-06
VAN-标准版,Blade-A0.0,1584,2520,124.6,22%,63.1,2026-06
VAN-标准版,Blade-A0.0,1584,3200,123.5,8%,64.75,2026-06
VAN-标准版,Blade-A0.0,1584,4000,122.2,35%,66.7,2026-06
VAN-标准版,Blade-A0.0,1584,5040,117.5,35%,73.75,2026-06
VAN-标准版,Blade-A0.0,1268,252,120.6,8%,69.1,2026-06
VAN-标准版,Blade-A0.0,1268,320,123.6,8%,64.6,2026-06
VAN-标准版,Blade-A0.0,1268,400,126.7,15%,59.95,2026-06
VAN-标准版,Blade-A0.0,1268,504,129.5,8%,55.75,2026-06
VAN-标准版,Blade-A0.0,1268,640,130.7,22%,53.95,2026-06
VAN-标准版,Blade-A0.0,1268,800,130.6,15%,54.1,2026-06
VAN-标准版,Blade-A0.0,1268,1000,128.8,8%,56.8,2026-06
VAN-标准版,Blade-A0.0,1268,1280,125.6,15%,61.6,2026-06
VAN-标准版,Blade-A0.0,1268,1600,123.5,15%,64.75,2026-06
VAN-标准版,Blade-A0.0,1268,2000,123.4,8%,64.9,2026-06
VAN-标准版,Blade-A0.0,1268,2520,123.4,8%,64.9,2026-06
VAN-标准版,Blade-A0.0,1268,3200,122.0,8%,67.0,2026-06
VAN-标准版,Blade-A0.0,1268,4000,120.5,8%,69.25,2026-06
VAN-标准版,Blade-A0.0,1268,5040,116.8,15%,74.8,2026-06
VAN-标准版,Blade-A2.0,2852,320,125.1,22%,62.35,2026-06
VAN-标准版,Blade-A2.0,2852,400,126.5,35%,60.25,2026-06
VAN-标准版,Blade-A2.0,2852,504,127.4,35%,58.9,2026-06
VAN-标准版,Blade-A2.0,2852,640,128.2,15%,57.7,2026-06
VAN-标准版,Blade-A2.0,2852,800,129.0,22%,56.5,2026-06
VAN-标准版,Blade-A2.0,2852,1000,128.8,15%,56.8,2026-06
VAN-标准版,Blade-A2.0,2852,1280,127.8,22%,58.3,2026-06
VAN-标准版,Blade-A2.0,2852,1600,126.9,35%,59.65,2026-06
VAN-标准版,Blade-A2.0,2852,2000,127.0,8%,59.5,2026-06
VAN-标准版,Blade-A2.0,2852,2520,126.1,15%,60.85,2026-06
VAN-标准版,Blade-A2.0,2852,3200,124.1,8%,63.85,2026-06
VAN-标准版,Blade-A2.0,2852,4000,122.8,22%,65.8,2026-06
VAN-标准版,Blade-A2.0,2852,5040,120.8,15%,68.8,2026-06
VAN-标准版,Blade-A2.0,2852,6400,116.0,22%,76.0,2026-06
VAN-标准版,Blade-A2.0,2852,8000,113.1,35%,80.35,2026-06
VAN-标准版,Blade-A2.0,2220,320,122.3,35%,66.55,2026-06
VAN-标准版,Blade-A2.0,2220,400,124.7,8%,62.95,2026-06
VAN-标准版,Blade-A2.0,2220,504,126.8,35%,59.8,2026-06
VAN-标准版,Blade-A2.0,2220,640,128.5,35%,57.25,2026-06
VAN-标准版,Blade-A2.0,2220,800,129.0,15%,56.5,2026-06
VAN-标准版,Blade-A2.0,2220,1000,128.8,22%,56.8,2026-06
VAN-标准版,Blade-A2.0,2220,1280,126.8,8%,59.8,2026-06
VAN-标准版,Blade-A2.0,2220,1600,124.6,15%,63.1,2026-06
VAN-标准版,Blade-A2.0,2220,2000,123.9,15%,64.15,2026-06
VAN-标准版,Blade-A2.0,2220,2520,123.7,35%,64.45,2026-06
VAN-标准版,Blade-A2.0,2220,3200,122.2,15%,66.7,2026-06
VAN-标准版,Blade-A2.0,2220,4000,120.5,8%,69.25,2026-06
VAN-标准版,Blade-A2.0,2220,5040,118.7,8%,71.95,2026-06
VAN-标准版,Blade-A2.0,1584,252,120.1,22%,69.85,2026-06
VAN-标准版,Blade-A2.0,1584,320,122.1,35%,66.85,2026-06
VAN-标准版,Blade-A2.0,1584,400,125.2,22%,62.2,2026-06
VAN-标准版,Blade-A2.0,1584,504,127.4,22%,58.9,2026-06
VAN-标准版,Blade-A2.0,1584,640,129.0,15%,56.5,2026-06
VAN-标准版,Blade-A2.0,1584,800,129.1,22%,56.35,2026-06
VAN-标准版,Blade-A2.0,1584,1000,128.3,8%,57.55,2026-06
VAN-标准版,Blade-A2.0,1584,1280,125.8,35%,61.3,2026-06
VAN-标准版,Blade-A2.0,1584,1600,122.8,15%,65.8,2026-06
VAN-标准版,Blade-A2.0,1584,2000,121.4,8%,67.9,2026-06
VAN-标准版,Blade-A2.0,1584,2520,121.6,15%,67.6,2026-06
VAN-标准版,Blade-A2.0,1584,3200,120.2,8%,69.7,2026-06
VAN-标准版,Blade-A2.0,1584,4000,118.8,8%,71.8,2026-06
VAN-标准版,Blade-A2.0,1584,5040,116.4,35%,75.4,2026-06
VAN-标准版,Blade-A2.0,1268,252,120.1,35%,69.85,2026-06
VAN-标准版,Blade-A2.0,1268,320,123.4,35%,64.9,2026-06
VAN-标准版,Blade-A2.0,1268,400,126.7,8%,59.95,2026-06
VAN-标准版,Blade-A2.0,1268,504,129.1,22%,56.35,2026-06
VAN-标准版,Blade-A2.0,1268,640,130.3,15%,54.55,2026-06
VAN-标准版,Blade-A2.0,1268,800,130.3,35%,54.55,2026-06
VAN-标准版,Blade-A2.0,1268,1000,128.7,8%,56.95,2026-06
VAN-标准版,Blade-A2.0,1268,1280,125.8,8%,61.3,2026-06
VAN-标准版,Blade-A2.0,1268,1600,123.0,15%,65.5,2026-06
VAN-标准版,Blade-A2.0,1268,2000,121.4,35%,67.9,2026-06
VAN-标准版,Blade-A2.0,1268,2520,121.5,8%,67.75,2026-06
VAN-标准版,Blade-A2.0,1268,3200,120.5,8%,69.25,2026-06
VAN-标准版,Blade-A2.0,1268,4000,118.3,15%,72.55,2026-06
VAN-标准版,Blade-A2.0,1268,5040,115.1,35%,77.35,2026-06
VAN-标准版,Blade-A4.0,2852,400,126.8,22%,59.8,2026-06
VAN-标准版,Blade-A4.0,2852,504,129.0,8%,56.5,2026-06
VAN-标准版,Blade-A4.0,2852,640,130.7,8%,53.95,2026-06
VAN-标准版,Blade-A4.0,2852,800,131.7,22%,52.45,2026-06
VAN-标准版,Blade-A4.0,2852,1000,131.7,35%,52.45,2026-06
VAN-标准版,Blade-A4.0,2852,1280,129.5,35%,55.75,2026-06
VAN-标准版,Blade-A4.0,2852,1600,126.2,8%,60.7,2026-06
VAN-标准版,Blade-A4.0,2852,2000,124.3,22%,63.55,2026-06
VAN-标准版,Blade-A4.0,2852,2520,124.1,15%,63.85,2026-06
VAN-标准版,Blade-A4.0,2852,3200,121.7,8%,67.45,2026-06
VAN-标准版,Blade-A4.0,2852,4000,121.1,8%,68.35,2026-06
VAN-标准版,Blade-A4.0,2852,5040,118.6,8%,72.1,2026-06
VAN-标准版,Blade-A4.0,2852,6400,112.8,35%,80.8,2026-06
VAN-标准版,Blade-A4.0,2852,8000,113.1,22%,80.35,2026-06
VAN-标准版,Blade-A4.0,2852,10000,114.3,8%,78.55,2026-06
VAN-标准版,Blade-A4.0,2852,12800,112.8,15%,80.8,2026-06
VAN-标准版,Blade-A4.0,2852,16000,109.6,15%,85.6,2026-06
VAN-标准版,Blade-A4.0,2220,320,123.3,35%,65.05,2026-06
VAN-标准版,Blade-A4.0,2220,400,127.3,8%,59.05,2026-06
VAN-标准版,Blade-A4.0,2220,504,130.0,8%,55.0,2026-06
VAN-标准版,Blade-A4.0,2220,640,131.9,22%,52.15,2026-06
VAN-标准版,Blade-A4.0,2220,800,132.1,15%,51.85,2026-06
VAN-标准版,Blade-A4.0,2220,1000,131.3,35%,53.05,2026-06
VAN-标准版,Blade-A4.0,2220,1280,128.3,22%,57.55,2026-06
VAN-标准版,Blade-A4.0,2220,1600,124.3,8%,63.55,2026-06
VAN-标准版,Blade-A4.0,2220,2000,122.4,22%,66.4,2026-06
VAN-标准版,Blade-A4.0,2220,2520,122.4,35%,66.4,2026-06
VAN-标准版,Blade-A4.0,2220,3200,120.7,35%,68.95,2026-06
VAN-标准版,Blade-A4.0,2220,4000,120.0,8%,70.0,2026-06
VAN-标准版,Blade-A4.0,2220,5040,117.2,35%,74.2,2026-06
VAN-标准版,Blade-A4.0,2220,6400,112.5,8%,81.25,2026-06
VAN-标准版,Blade-A4.0,1584,252,122.2,22%,66.7,2026-06
VAN-标准版,Blade-A4.0,1584,320,123.9,15%,64.15,2026-06
VAN-标准版,Blade-A4.0,1584,400,127.0,35%,59.5,2026-06
VAN-标准版,Blade-A4.0,1584,504,129.6,8%,55.6,2026-06
VAN-标准版,Blade-A4.0,1584,640,130.5,8%,54.25,2026-06
VAN-标准版,Blade-A4.0,1584,800,130.0,15%,55.0,2026-06
VAN-标准版,Blade-A4.0,1584,1000,128.3,22%,57.55,2026-06
VAN-标准版,Blade-A4.0,1584,1280,125.3,22%,62.05,2026-06
VAN-标准版,Blade-A4.0,1584,1600,121.7,35%,67.45,2026-06
VAN-标准版,Blade-A4.0,1584,2000,119.6,8%,70.6,2026-06
VAN-标准版,Blade-A4.0,1584,2520,120.4,35%,69.4,2026-06
VAN-标准版,Blade-A4.0,1584,3200,119.2,8%,71.2,2026-06
VAN-标准版,Blade-A4.0,1584,4000,117.6,8%,73.6,2026-06
VAN-标准版,Blade-A4.0,1584,5040,114.2,35%,78.7,2026-06
VAN-标准版,Blade-A4.0,1584,6400,113.1,35%,80.35,2026-06
VAN-标准版,Blade-A4.0,1268,200,120.2,15%,69.7,2026-06
VAN-标准版,Blade-A4.0,1268,252,123.6,35%,64.6,2026-06
VAN-标准版,Blade-A4.0,1268,320,126.1,15%,60.85,2026-06
VAN-标准版,Blade-A4.0,1268,400,128.9,22%,56.65,2026-06
VAN-标准版,Blade-A4.0,1268,504,130.3,22%,54.55,2026-06
